URL,Name,Latest Price,Change Abs,Change Pct,Last Updated,Error
https://unlistedzone.com/shares/zepto-share-price-buy-sell-unlisted-shares/,Zepto Unlisted Shares (Equity),40,0.00,0.00,2026-06-16 03:20:22,
https://unlistedzone.com/shares/polymatech-unlisted-shares/,Polymatech Unlisted Shares,54,0.00,0.00,2026-06-16 03:20:22,
https://unlistedzone.com/shares/nse-india-limited-unlisted-shares/,NSE India Limited Unlisted Shares,2015,0.00,0.00,2026-06-16 03:20:22,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://unlistedzone.com/shares/nse-india-limited-unlisted-shares/"", waiting until ""domcontentloaded""
"
https://unlistedzone.com/shares/oravel-stays-limited-oyo-unlisted-shares/,ORAVEL STAYS LIMITED (Oyo Unlisted Shares),24.5,0.00,0.00,2026-06-16 03:20:22,
https://unlistedzone.com/shares/msei-share-price-buy-sell-unlisted-shares-of-msei-metropolitan-stock-exchange/,Metropolitan Stock Exchange (MSEI) Unlisted Shares,5.85,0.00,0.00,2026-06-16 03:20:22,
https://unlistedzone.com/shares/indian-gas-exchange-share-price-buy-sell-online/,Indian Gas Exchange Limited,405,0.00,0.00,2026-06-16 03:20:22,
https://unlistedzone.com/shares/shriram-life-insurance-co-ltd-unlisted-shares/,Shriram Life Insurance Co. Ltd Unlisted Shares,525,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-share-price-ncl-alltek-seccolor-limited-unlisted-shares/,NCL Buildtek Limited (Previously NCL Alltek & Seccolor Limited) Unlisted Shares,172,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/a-one-steel-india-limited/,A One Steel India Limited,234,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-share-price-a-v-thomas-co-limited-unlisted-shares/,A V Thomas & Co. Limited Unlisted Shares,12500,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/absolute-projects-india-limited/,Absolute Projects (India) Limited,76,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/adiance-technologies-unlisted-shares/,ADIANCE TECHNOLOGIES Unlisted Shares,2250,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/adtech-systems-limited-unlisted-shares/,Adtech Systems Limited Unlisted Shares,65,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/ambadi-investments-murugappa-share-price-buy-sell-online/,Ambadi Investments Limited (murugappa),0,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/amol-minechem-unlisted-shares-buy-sell-online/,Amol Minechem Limited,900,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/amrut-dredging-and-shipping-share-price-buy-sell-online/,Amrut Dredging And Shipping Limited,0,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/anglo-french-drugs-industries-share-price-buy-sell-online/,Anglo-French Drugs & Industries Ltd Unlisted Shares,0,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/anheuser-busch-inbev-sabmiller-india-limited-unlisted-shares/,Anheuser Busch Inbev (Sabmiller) India Limited Unlisted Shares,535,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/anugraha-valve-castings-limited-unlisted-shares/,Anugraha Valve Castings Limited Unlisted Shares,555,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/apl-metals-unlisted-share-price-buy-sell/,APL Metals Unlisted Shares,11,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/apollo-fashion-international-unlisted-shares/,Apollo Fashion International Unlisted Shares,44,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/apollo-green-energy-limited-unlisted-shares/,Apollo Green Energy Limited Unlisted Shares,70,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/arch-pharmalabs-limited-unlisted-shares/,Arch Pharmalabs Limited Unlisted Shares,85,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/archit-nuwood-share-price-buy-sell-online/,Archit Nuwood Unlisted Shares,270,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/arohan-financial-services-unlisted-shares/,Arohan Financial Services Unlisted Shares,235,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/asian-hotels-west-share-price-buy-sell-online/,Asian Hotels (West) Limited,0,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/ask-investment-managers-share-price-buy-sell-online/,ASK Investment Managers Limited,875,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-share-price-assam-carbon-products-limited-unlisted-shares/,Assam Carbon Products Limited Unlisted Shares,425,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/auckland-jute-unlisted-shares-buy-sell-online/,Auckland Jute Co. Limited Unlisted Shares,189,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/axles-india-limited-unlisted-shares/,Axles India Limited Unlisted Shares,495,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/bagrrys-india-limited-unlisted-shares/,Bagrrys India Limited Unlisted Shares,2219,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-bazar-india-unlisted-shares-share-price/,Bazar India Unlisted Shares,24,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/berar-finance-limited/,Berar Finance Limited,435,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/bharat-hotels-limited-share-price-buy-sell-unlisted-shares-of-bharat-hotels/,Bharat Hotels Unlisted Shares,355,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-share-price-bharat-nidhi-bharat-bank-unlisted-shares/,Bharat Nidhi (Bharat Bank) Unlisted Shares,10800,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/big-basket-share-price-buy-sell-online/,Big Basket Unlisted Shares,1950,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/bira-share-price-buy-sell-unlisted-shares/,Bira Unlisted Shares,60,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/blsx-shares-price-buy-sell-online/,BLSX Limited,26,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/boat-unlisted-share-imagine-marketing/,Boat Unlisted Share (Imagine Marketing),895,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/bolzen-and-mutter-share-price-buy-sell-online/,Bolzen and Mutter Unlisted Share,395,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/bombay-gas-company-limited-unlisted-shares/,Bombay Gas Company Limited Unlisted Shares,125,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/bombay-swadeshi-stores-limited-unlisted-shares/,Bombay Swadeshi Stores Limited Unlisted Shares,470,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/bootes-impex-tech-share-price-buy-sell-online/,Bootes Impex Tech Ltd.,785,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/bvg-india-limited-unlisted-share/,BVG India Limited Unlisted Share,495,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/cs-electric-limited-unlisted-shares/,C&S Electric Limited Unlisted Shares,1950,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/calcutta-stock-exchange-share-price-buy-sell-online/,Calcutta Stock Exchange Unlisted Shares,919,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/camac-commercial-company-limited-unlisted-shares/,Camac Commercial Company Limited Unlisted Shares,35000,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/capgemini-technology-services-india-limited-unlisted-shares/,Capgemini Technology Services India Limited Unlisted Shares,10950,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/care-health-previously-religare-health-insurance-company-limited-unlisted-shares-buy-sell-share-price/,Care Health (Previously Religare Health) Insurance Company Limited Unlisted Shares,144,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-share-price-carrier-airconditioning-refrigeration-unlisted-shares/,Carrier Airconditioning & Refrigeration Limited Unlisted Shares,515,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/cheelizza-pizza-share-price-by-sell-online/,Cheelizza Pizza Unlisted Shares,18,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/claps-oiltech-unlisted-share/,Claps Oiltech Unlisted Share,46,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-cochin-international-airport-shares-for-sale-share-price-shareholders/,Cochin International Airport Limited Unlisted Shares,438,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/core-energy-systems-share-price-buy-sell-online/,Core Energy Systems Limited,17400,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/cremica-food-industries-share-price-buy-sell-online/,Cremica Food Industries Limited,0,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/csk-share-price-buy-sell-unlisted-shares/,CSK Unlisted Shares,260,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/ctr-manufacturing-industries-limited-unlisted-shares/,CTR Manufacturing Industries Limited Unlisted Share,16198,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/dalmia-bharat-refractory-unlisted-shares-price/,Dalmia Bharat Refractories Limited Unlisted Shares,215,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/dantech-digital-dental-solutions-private-limited/,DANTECH DIGITAL DENTAL SOLUTIONS PRIVATE LIMITED,450,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/delta-galaxy-unlisted-shares/,Delta Galaxy Unlisted Shares,42,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/deys-medical-stores-mfg-limited-unlisted-shares/,Deys Medical Stores (Mfg) Limited Unlisted Shares,539,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-share-price-digvijay-finlease-unlisted-shares/,Digvijay Finlease Unlisted Shares,1675,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/down-town-hospital-limited-unlisted-shares/,Down Town Hospital Limited Unlisted Shares,375,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/e-trav-tech-share-price-buy-sell-online/,E Trav Tech Limited,100,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/eaaa-india-alternatives-share-price-buy-sell-online/,EAAA India Alternatives Limited,0,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/east-india-pharmaceutical-works-limited/,East India Pharmaceutical Works Limited,79,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/eaton-fluid-power-limited-unlisted-shares/,Eaton Fluid Power Limited Unlisted Shares,550,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/ecosure-share-price-buy-sell-online/,Ecosure Unlisted Shares,30,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/eiffil-water-infra-share-price-buy-sell-online/,Eiffil Water Infra Private Limited,0,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/ekkaa-electronics-india-share-price-buy-sell-online/,Ekkaa Electronics (India) Pvt. Ltd.,0,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-share-price-electrosteel-steels-limited-unlisted-shares/,Electrosteel Steels Limited Unlisted Shares,40,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/elofic-industries-limited-share-price-buy-sell-unlisted-shares-of-elofic-industries-limited/,Elofic Industries Limited Unlisted Shares,3250,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/empire-spices-and-foods-limited-unlisted-shares/,Empire Spices and Foods Limited Unlisted Shares,575,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-latest-price-esds-unlisted-shares-preipo/,ESDS Unlisted Shares,515,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-share-price-fincare-business-services-unlisted-shares/,Fincare Business Finance Unlisted Shares,114,0.00,0.00,2026-06-16 02:44:24,
https://unlistedzone.com/shares/buy-sell-latest-price-fincare-small-finance-bank-unlisted-shares/,Fincare Small Finance Bank Unlisted Shares,260,0.00,0.00,2026-06-16 02:44:24,
